tx_hash,log_index,block_number,timestamp,timestamp_iso,chain_id,contract_address,token,token_label,amount_raw,n_feasible,anonymity_score,entropy_bits,entropy_norm,subset_sum_explanations,max_weight,weight_top1,weight_top2,weight_top3,is_selected_example,amount_sigma_used,amount_sigma_fraction,time_decay_hours_used,entropy_weight_used,multiplicity_weight_used
fa7e078929d15df9925d449cfdff6cc3a0a990b1b16e82165032d91de5aee0a5,27,16076984,1669741055,2022-11-29T16:57:35+00:00,1,0xfa7093cdd9ee6932b4eb2c9e1cde7ce00b1fa4b9,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH (0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2),9975000000000000,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,False,0.0,0.02,72.0,0.7,0.3
90e54fd80983c481f68aa2d7fe8c8392dba8a70b25000687926c426dfc8bc6f7,38,16077382,1669745843,2022-11-29T18:17:23+00:00,1,0xfa7093cdd9ee6932b4eb2c9e1cde7ce00b1fa4b9,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH (0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2),9950062500000000,1,0.0,-0.0,0.0,0,1.0,1.0,0.0,0.0,False,497503125000000.0,0.05,96.0,0.7,0.3
d9c07a91fd1ec2bd0297df9aaf802995c1d55bc00cfdbe9f1e9f49e2b14d2dab,50,16077710,1669749791,2022-11-29T19:23:11+00:00,1,0xfa7093cdd9ee6932b4eb2c9e1cde7ce00b1fa4b9,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH (0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2),3990000000000000000,2,6.976048999263462e-29,9.965784284662088e-29,9.965784284662088e-29,0,1.0,1.0,1e-30,0.0,False,1.995e+17,0.05,96.0,0.7,0.3
a7e08367afde50f74c65a29b8d10a56da718ea0e5f7642113144da26269b99e1,7,16078010,1669753415,2022-11-29T20:23:35+00:00,1,0xfa7093cdd9ee6932b4eb2c9e1cde7ce00b1fa4b9,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH (0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2),244387500000000000,3,8.802793752015417e-29,1.9931568569324176e-28,1.257541964573631e-28,0,1.0,1.0,1e-30,1e-30,False,1.2219375e+16,0.05,96.0,0.7,0.3
869b54108779fcbbe09968e59fad3d68fbb0c2a1cd061fba0f48fedeea5c5cd3,3,16078103,1669754543,2022-11-29T20:42:23+00:00,1,0xfa7093cdd9ee6932b4eb2c9e1cde7ce00b1fa4b9,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH (0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2),997500000000000000,3,8.802793752015417e-29,1.9931568569324176e-28,1.257541964573631e-28,0,1.0,1.0,1e-30,1e-30,False,4.9875e+16,0.05,96.0,0.7,0.3
a4bde743973df700a2aefc18aabe6f7c7430faa4a73a9c69b07add406597611e,19,16078151,1669755131,2022-11-29T20:52:11+00:00,1,0xfa7093cdd9ee6932b4eb2c9e1cde7ce00b1fa4b9,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH (0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2),3491250000000000000,3,8.802793752015417e-29,1.9931568569324176e-28,1.257541964573631e-28,0,1.0,1.0,1e-30,1e-30,False,1.745625e+17,0.05,96.0,0.7,0.3
b87a61170cb24b5e533794197e2de008449fc07ee91f787b0a7fc3558da96475,21,16079461,1669770959,2022-11-30T01:15:59+00:00,1,0xfa7093cdd9ee6932b4eb2c9e1cde7ce00b1fa4b9,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH (0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2),1201300698794306200,4,1.0464073498895192e-28,2.9897352853986264e-28,1.4948676426993132e-28,0,1.0,1.0,1e-30,1e-30,False,6.006503493971532e+16,0.05,96.0,0.7,0.3
b87a61170cb24b5e533794197e2de008449fc07ee91f787b0a7fc3558da96475,24,16079461,1669770959,2022-11-30T01:15:59+00:00,1,0xfa7093cdd9ee6932b4eb2c9e1cde7ce00b1fa4b9,0x6B175474E89094C44Da98b954EedeAC495271d0F,DAI (0x6B175474E89094C44Da98b954EedeAC495271d0F),2135283412500000000000,1,0.0,-0.0,0.0,0,1.0,1.0,0.0,0.0,False,1.0676417062500001e+20,0.05,96.0,0.7,0.3
b87a61170cb24b5e533794197e2de008449fc07ee91f787b0a7fc3558da96475,27,16079461,1669770959,2022-11-30T01:15:59+00:00,1,0xfa7093cdd9ee6932b4eb2c9e1cde7ce00b1fa4b9,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,WBTC (0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599),11289964,1,0.0,-0.0,0.0,0,1.0,1.0,0.0,0.0,False,564498.2000000001,0.05,96.0,0.7,0.3
b87a61170cb24b5e533794197e2de008449fc07ee91f787b0a7fc3558da96475,30,16079461,1669770959,2022-11-30T01:15:59+00:00,1,0xfa7093cdd9ee6932b4eb2c9e1cde7ce00b1fa4b9,0x1f9840a85d5aF5bf1D1762F925BDADdC4201F984,0x1f9840a85d5aF5bf1D1762F925BDADdC4201F984,130678862266968750000,1,0.0,-0.0,0.0,0,1.0,1.0,0.0,0.0,False,6.533943113348438e+18,0.05,96.0,0.7,0.3
