kind,tx_hash,log_index,block_number,timestamp,chain_id,contract_address,token,amount_raw,extra
shield,9ffbaeb36bea891456befcf4f1b210f5ef19d39203346668dca6277437259e9b,4,25005502,1674386194,56,0x590162bf4b50f6576a459b75309ee21d92178a10,0x8AC76a51cc950d9822D68b83fE1Ad97B32Cd580d,9975000000000000000,{'commitment_index': 0}
shield,06e274907c01f4aebe8eaddd96fdd9a82f138f1c838049e11d316ca69c7e72f7,18,25005516,1674386236,56,0x590162bf4b50f6576a459b75309ee21d92178a10,0x8AC76a51cc950d9822D68b83fE1Ad97B32Cd580d,1900407075000000000000,{'commitment_index': 0}
shield,ef5fcf305fa32558c26d7392c0d1c07cfcb2626ffb4b5c7655b9ed6f7ba0804c,32,25006092,1674388032,56,0x590162bf4b50f6576a459b75309ee21d92178a10,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,62781466965000000,{'commitment_index': 0}
shield,e65292b40c46683da84c3f303bb1b41dd79ef2931a01639a709bdd69faa3db89,53,25015241,1674415811,56,0x590162bf4b50f6576a459b75309ee21d92178a10,0x2170Ed0880ac9A755fd29B2688956BD959F933F8,54862500000000,{'commitment_index': 0}
unshield,a360fe9b937a760b080e9b5bebee153bb2d84b6138f8c87c351365eb18ab5bdf,3,25005963,1674387610,56,0x590162bf4b50f6576a459b75309ee21d92178a10,0x8AC76a51cc950d9822D68b83fE1Ad97B32Cd580d,19950000000000000000,{}
unshield,91bdf6de1bd43263fd2c5ac02fa7067a0c1b1a0186d7e801d2f46b21d79d19ae,20,25006018,1674387776,56,0x590162bf4b50f6576a459b75309ee21d92178a10,0x8AC76a51cc950d9822D68b83fE1Ad97B32Cd580d,1877978734540311984069,{}
unshield,a8f460498a6e71a692ae7119a99af8219b1981c28e9647634abd2e29d43ee430,3,25006125,1674388131,56,0x590162bf4b50f6576a459b75309ee21d92178a10,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,47236765521487500,{}
unshield,d7cb6858746a03fb9dc0ba0f8b8a667b0413207203c52e5a092f6b01cdcb9b8b,28,25015468,1674416492,56,0x590162bf4b50f6576a459b75309ee21d92178a10,0x2170Ed0880ac9A755fd29B2688956BD959F933F8,54725343750000,{}
shield,6539fc1c756745190e9379eabf3fa3f0033569761b5910d9871ff2b65522774d,40,25041605,1674495932,56,0x590162bf4b50f6576a459b75309ee21d92178a10,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,133343335499155582,{'commitment_index': 0}
shield,79e4ca1fb773d71aa62775dc15c751e13a1d58dccc9b0d1b21151ace66cd789a,12,25047425,1674513633,56,0x590162bf4b50f6576a459b75309ee21d92178a10,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,78381931057500000,{'commitment_index': 0}
shield,0a051dcc8d71706662025937447a7232da51b36b6311bed8eb65a22e1f389be3,11,25050866,1674524098,56,0x590162bf4b50f6576a459b75309ee21d92178a10,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,19183714545922500000,{'commitment_index': 0}
unshield,379a4ddffc945eadb9f6e589e58ab4a81d9c5c7f9bfd61a702f40782012ff645,20,25040464,1674492455,56,0x590162bf4b50f6576a459b75309ee21d92178a10,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,149625000000000000,{}
unshield,14da2043f6c42d73e7bca705cc2acc010768c9578f22eed1310f2e5149ee4850,39,25041771,1674496446,56,0x590162bf4b50f6576a459b75309ee21d92178a10,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,79800000000000000,{}
unshield,0ce2ddb677fada67816f8eba8f28cb1a86394641c58dab11363abbf86a18fa11,5,25047474,1674513780,56,0x590162bf4b50f6576a459b75309ee21d92178a10,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,64358791408406250,{}
unshield,8a2a919fbbb061fcae22451b00ddafff314cbc2a0e68aa365e8ef14f1d34f9fb,3,25051752,1674526798,56,0x590162bf4b50f6576a459b75309ee21d92178a10,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,19108942136607093750,{}
unshield,c93a81b8c8ea0bc49afe66af0a2cff22d7a7f06214310c390b09fa7ed2559688,3,25055211,1674537228,56,0x590162bf4b50f6576a459b75309ee21d92178a10,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,26547028572957694,{}
shield,24ace57a972375ea6f1c158367e0313a66878b396b5f407030e40d73604da238,25,25061525,1674556357,56,0x590162bf4b50f6576a459b75309ee21d92178a10,0x55d398326f99059fF775485246999027B3197955,997500000000000000,{'commitment_index': 0}
shield,44f675ddaae060687b8d02940ad23f810ca6a07de431f7ada797d070ee301016,5,25074310,1674595283,56,0x590162bf4b50f6576a459b75309ee21d92178a10,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,888412232925000000,{'commitment_index': 0}
shield,91fa2a963a343bd52ef314d31ba0e867fbe4c21b0ec0004df28a13414a00ebbe,17,25088062,1674637137,56,0x590162bf4b50f6576a459b75309ee21d92178a10,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,637232925000000,{'commitment_index': 0}
shield,3cdbfa79bea2923b9eb7b34c5e4a9f26c31d826d6502e3f5e371c1160b9331f4,12,25092068,1674649375,56,0x590162bf4b50f6576a459b75309ee21d92178a10,0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56,5985000000000000000000,{'commitment_index': 0}
shield,b7665277d55a5903f947b84784b83d24a212ef27b90e2117b0acc3e1c28edc2c,37,25092228,1674649860,56,0x590162bf4b50f6576a459b75309ee21d92178a10,0x1AF3F329e8BE154074D8769D1FFa4eE058B1DBc3,2984849037671690761699,{'commitment_index': 0}
shield,85d04eb0504db4cd24e9a7bb0af3f4d5ef9213f15419be752f1345e530a4c779,26,25092256,1674649944,56,0x590162bf4b50f6576a459b75309ee21d92178a10,0x1AF3F329e8BE154074D8769D1FFa4eE058B1DBc3,2935005274211129655022,{'commitment_index': 0}
shield,a2e31f680b7775174e2883fb1dc3a3325e6a2e4a740b7dfe17c7b98cf291803f,77,25092751,1674651429,56,0x590162bf4b50f6576a459b75309ee21d92178a10,0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56,99750000000000000000,{'commitment_index': 0}
unshield,b7665277d55a5903f947b84784b83d24a212ef27b90e2117b0acc3e1c28edc2c,17,25092228,1674649860,56,0x590162bf4b50f6576a459b75309ee21d92178a10,0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56,2992500000000000000000,{}
unshield,85d04eb0504db4cd24e9a7bb0af3f4d5ef9213f15419be752f1345e530a4c779,6,25092256,1674649944,56,0x590162bf4b50f6576a459b75309ee21d92178a10,0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56,2942625000000000000000,{}
unshield,960dd365cc58e71d74bcdd6e738a50ca32db0758831052713a2461bdafb65333,8,25093829,1674654678,56,0x590162bf4b50f6576a459b75309ee21d92178a10,0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56,19999875000000000000,{}
unshield,8b65dfd03ba42359c77d7975992482ab01166dbd3317624633b35676c9a08336,86,25097545,1674666044,56,0x590162bf4b50f6576a459b75309ee21d92178a10,0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56,69825000000000000000,{}
shield,1ab2c6960fb46d917a2321c2555d409efb1548abb4f354f1de059670d364a156,13,25110465,1674705584,56,0x590162bf4b50f6576a459b75309ee21d92178a10,0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56,4987500000000000000,{'commitment_index': 0}
shield,5f39b462b89735cde5f02855a31e0f63181eb20ef960428b0865534c3e1c0ae9,41,25110512,1674705725,56,0x590162bf4b50f6576a459b75309ee21d92178a10,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,278834744055000000,{'commitment_index': 0}
shield,a8da9338d724b4feadad9ecb1077bee43776e2f71df39c8cfca61188c1aca7fd,17,25110545,1674705824,56,0x590162bf4b50f6576a459b75309ee21d92178a10,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,49875000000000000,{'commitment_index': 0}
shield,046c2ce69838a59a02196713e379a90b5a150db13557881a5dc561d172c47293,22,25113354,1674714299,56,0x590162bf4b50f6576a459b75309ee21d92178a10,0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56,1022437500000000000000,{'commitment_index': 0}
shield,e8552b8b07e9b3c05450e75d62650694b7d60981413423a8c61f59b70f60c97e,5,25113521,1674714800,56,0x590162bf4b50f6576a459b75309ee21d92178a10,0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56,1059577147416426076592,{'commitment_index': 0}
unshield,fae338846dcadf1ba835f4e0790b525362b3d7a97d99fb3751064e906a7e1d86,27,25110555,1674705854,56,0x590162bf4b50f6576a459b75309ee21d92178a10,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,252698885175712500,{}
unshield,19515562c87edf3ef5d7b41d0219bee515569a6ab5292ed03299d3cbd6285c47,17,25110580,1674705929,56,0x590162bf4b50f6576a459b75309ee21d92178a10,0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56,2493750000000000000,{}
shield,a6f768d61d299bf5f8ba396b631b266f4270ab8838d59f80be4245b156b0ccd3,18,25120668,1674736421,56,0x590162bf4b50f6576a459b75309ee21d92178a10,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,498786786245519375,{'commitment_index': 0}
shield,4da5b4e2b9bcb46d0e7ba19c07c2d1395c694a9d87b7a939cd5591cb07c00ddd,259,25122344,1674741582,56,0x590162bf4b50f6576a459b75309ee21d92178a10,0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56,1995000000000000000,{'commitment_index': 0}
shield,5795a627cbf276876c09036d61204c8fd785fc164beffe7bb58593a61b4d49b3,6,25122788,1674742915,56,0x590162bf4b50f6576a459b75309ee21d92178a10,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,1725013607625000,{'commitment_index': 0}
shield,eece4f7c4378ea8f6694179b7c98ac16f53d9896d8ec4fd74f76c6c6544aeee7,5,25122853,1674743110,56,0x590162bf4b50f6576a459b75309ee21d92178a10,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,12136503946875000,{'commitment_index': 0}
shield,9d3a3d0a24a61b56317ad5f085b71c4c96b72d9aef44029135fc1b2a36ae99de,6,25122972,1674743467,56,0x590162bf4b50f6576a459b75309ee21d92178a10,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,82646999662500000,{'commitment_index': 0}
shield,224c60b2ddf66999b6cd0338f44483d641aaad899c317a82a61bf6f008150b98,69,25123150,1674744001,56,0x590162bf4b50f6576a459b75309ee21d92178a10,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,9975000000000000,{'commitment_index': 0}
shield,46315bab8374bae040162141c154cb100fc128f9d3318c39026e98a24dd1fd05,41,25123243,1674744289,56,0x590162bf4b50f6576a459b75309ee21d92178a10,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,93355615027500000,{'commitment_index': 0}
shield,ae29d7af86cbae3c5a89642c34286dca3b6134824ebe35719581828ddf6df214,11,25126763,1674755038,56,0x590162bf4b50f6576a459b75309ee21d92178a10,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,117892695585000000,{'commitment_index': 0}
shield,e1b44562ae777e2c35c236355136045b699e22bc5f5535502e9025abfb30a9fd,12,25129774,1674764113,56,0x590162bf4b50f6576a459b75309ee21d92178a10,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,627862575585000000,{'commitment_index': 0}
shield,e22583156d059971a503fc2f347fb3158ffe6b478f7bdf3b7957a7247b1405b4,253,25137253,1674786938,56,0x590162bf4b50f6576a459b75309ee21d92178a10,0x7dDEE176F665cD201F93eEDE625770E2fD911990,1992234930000000000000,{'commitment_index': 0}
shield,e22583156d059971a503fc2f347fb3158ffe6b478f7bdf3b7957a7247b1405b4,253,25137253,1674786938,56,0x590162bf4b50f6576a459b75309ee21d92178a10,0xfCe146bF3146100cfe5dB4129cf6C82b0eF4Ad8c,5,{'commitment_index': 1}
shield,e22583156d059971a503fc2f347fb3158ffe6b478f7bdf3b7957a7247b1405b4,253,25137253,1674786938,56,0x590162bf4b50f6576a459b75309ee21d92178a10,0x419C44C48Cd346C0b0933ba243BE02af46607c9B,20825746197132268,{'commitment_index': 2}
shield,e22583156d059971a503fc2f347fb3158ffe6b478f7bdf3b7957a7247b1405b4,253,25137253,1674786938,56,0x590162bf4b50f6576a459b75309ee21d92178a10,0x6893225680fa58281f321dbb5ac52bcF683Ef141,1992234930000000000000,{'commitment_index': 3}
shield,e22583156d059971a503fc2f347fb3158ffe6b478f7bdf3b7957a7247b1405b4,253,25137253,1674786938,56,0x590162bf4b50f6576a459b75309ee21d92178a10,0x61C8c8f8E09BeD4b35A5875b149eac79D1ae3ad3,1992234930000000000,{'commitment_index': 4}
unshield,2ccd62c03cce76944dc70f564b8e1ec3db1355e9f8a213f5111002c10bb0d6c1,74,25120897,1674737135,56,0x590162bf4b50f6576a459b75309ee21d92178a10,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,487979848730843077,{}
