kind,tx_hash,log_index,block_number,timestamp,chain_id,contract_address,token,amount_raw,extra
shield,561ef19113669b47a7dcc057bbdb368c0134c21880efcb872f78dd1436cd14cf,65,16077369,1669745687,1,0xfa7093cdd9ee6932b4eb2c9e1cde7ce00b1fa4b9,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,9975000000000000,{'commitment_index': 0}
shield,1595825bdc2cfe166054c74cc2ddb7fa11a8e286a375c8323e1657111b21eed1,76,16077602,1669748495,1,0xfa7093cdd9ee6932b4eb2c9e1cde7ce00b1fa4b9,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,4846819585990082507,{'commitment_index': 0}
shield,e4826109b9c3f4abd3beac6f2674946e1f93c49b70f1097316729be90b887878,19,16077890,1669751963,1,0xfa7093cdd9ee6932b4eb2c9e1cde7ce00b1fa4b9,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,277591538874516545,{'commitment_index': 0}
shield,54a533534fcabe83961cadd50280fc50e69b4f41b9788118870ffc91fdd5988e,24,16078600,1669760579,1,0xfa7093cdd9ee6932b4eb2c9e1cde7ce00b1fa4b9,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,997500000,{'commitment_index': 0}
shield,671d254e6b55be88a80f75ceca4378214ec1f1bdd2fdd600e97e697d3eea073b,8,16079273,1669768703,1,0xfa7093cdd9ee6932b4eb2c9e1cde7ce00b1fa4b9,0x6B175474E89094C44Da98b954EedeAC495271d0F,2140635000000000000000,{'commitment_index': 0}
shield,671d254e6b55be88a80f75ceca4378214ec1f1bdd2fdd600e97e697d3eea073b,8,16079273,1669768703,1,0xfa7093cdd9ee6932b4eb2c9e1cde7ce00b1fa4b9,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,11318259,{'commitment_index': 1}
shield,671d254e6b55be88a80f75ceca4378214ec1f1bdd2fdd600e97e697d3eea073b,8,16079273,1669768703,1,0xfa7093cdd9ee6932b4eb2c9e1cde7ce00b1fa4b9,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,1246875000000000000,{'commitment_index': 2}
shield,671d254e6b55be88a80f75ceca4378214ec1f1bdd2fdd600e97e697d3eea073b,8,16079273,1669768703,1,0xfa7093cdd9ee6932b4eb2c9e1cde7ce00b1fa4b9,0x1f9840a85d5aF5bf1D1762F925BDADdC4201F984,131006378212500000000,{'commitment_index': 3}
unshield,fa7e078929d15df9925d449cfdff6cc3a0a990b1b16e82165032d91de5aee0a5,27,16076984,1669741055,1,0xfa7093cdd9ee6932b4eb2c9e1cde7ce00b1fa4b9,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,9975000000000000,{}
unshield,90e54fd80983c481f68aa2d7fe8c8392dba8a70b25000687926c426dfc8bc6f7,38,16077382,1669745843,1,0xfa7093cdd9ee6932b4eb2c9e1cde7ce00b1fa4b9,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,9950062500000000,{}
unshield,d9c07a91fd1ec2bd0297df9aaf802995c1d55bc00cfdbe9f1e9f49e2b14d2dab,50,16077710,1669749791,1,0xfa7093cdd9ee6932b4eb2c9e1cde7ce00b1fa4b9,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,3990000000000000000,{}
unshield,a7e08367afde50f74c65a29b8d10a56da718ea0e5f7642113144da26269b99e1,7,16078010,1669753415,1,0xfa7093cdd9ee6932b4eb2c9e1cde7ce00b1fa4b9,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,244387500000000000,{}
unshield,869b54108779fcbbe09968e59fad3d68fbb0c2a1cd061fba0f48fedeea5c5cd3,3,16078103,1669754543,1,0xfa7093cdd9ee6932b4eb2c9e1cde7ce00b1fa4b9,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,997500000000000000,{}
unshield,a4bde743973df700a2aefc18aabe6f7c7430faa4a73a9c69b07add406597611e,19,16078151,1669755131,1,0xfa7093cdd9ee6932b4eb2c9e1cde7ce00b1fa4b9,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,3491250000000000000,{}
unshield,b87a61170cb24b5e533794197e2de008449fc07ee91f787b0a7fc3558da96475,21,16079461,1669770959,1,0xfa7093cdd9ee6932b4eb2c9e1cde7ce00b1fa4b9,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,1201300698794306200,{}
unshield,b87a61170cb24b5e533794197e2de008449fc07ee91f787b0a7fc3558da96475,24,16079461,1669770959,1,0xfa7093cdd9ee6932b4eb2c9e1cde7ce00b1fa4b9,0x6B175474E89094C44Da98b954EedeAC495271d0F,2135283412500000000000,{}
unshield,b87a61170cb24b5e533794197e2de008449fc07ee91f787b0a7fc3558da96475,27,16079461,1669770959,1,0xfa7093cdd9ee6932b4eb2c9e1cde7ce00b1fa4b9,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,11289964,{}
unshield,b87a61170cb24b5e533794197e2de008449fc07ee91f787b0a7fc3558da96475,30,16079461,1669770959,1,0xfa7093cdd9ee6932b4eb2c9e1cde7ce00b1fa4b9,0x1f9840a85d5aF5bf1D1762F925BDADdC4201F984,130678862266968750000,{}
shield,ca83b55f7925d07e8c8682ae9a8f911d2b27c55f95ecac7cc056372da4beec35,20,16080792,1669787015,1,0xfa7093cdd9ee6932b4eb2c9e1cde7ce00b1fa4b9,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,17411083079,{'commitment_index': 0}
shield,02cbb4ed487a838ce1d61ff60728b9020b6199f2b8a1b00cb665ed428e6b77ba,71,16082246,1669804583,1,0xfa7093cdd9ee6932b4eb2c9e1cde7ce00b1fa4b9,0xdAC17F958D2ee523a2206206994597C13D831ec7,1995000000,{'commitment_index': 0}
shield,a5b5c517ba94ea2f48bb663f77cdac1240fb220b95c1fa7b9bdbbb9cc188a2a0,2,16083835,1669823807,1,0xfa7093cdd9ee6932b4eb2c9e1cde7ce00b1fa4b9,0xdAC17F958D2ee523a2206206994597C13D831ec7,398922140,{'commitment_index': 0}
shield,7787a8911b04c8a7a2bd1f6d6822cdf7d2b2f8d94fa7217ace9e91bd2fe00cda,100,16085512,1669844075,1,0xfa7093cdd9ee6932b4eb2c9e1cde7ce00b1fa4b9,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,1774849670018816,{'commitment_index': 0}
shield,886c173346a7abc13450fa2c20533549139f34228b90fe424897a38d4b946658,175,16086629,1669857599,1,0xfa7093cdd9ee6932b4eb2c9e1cde7ce00b1fa4b9,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,1922471632857597916,{'commitment_index': 0}
shield,1cf3e58d71d59a783dfadd274134c4352e2cd84ec1de0e12a3b1adbc739555b6,158,16086732,1669858847,1,0xfa7093cdd9ee6932b4eb2c9e1cde7ce00b1fa4b9,0xe76C6c83af64e4C60245D8C7dE953DF673a7A33D,18515835994005000000000,{'commitment_index': 0}
shield,849d486e6f0e3cbff5a20971f3a94319b145e99357f62eda7d595d988ce45a78,40,16089080,1669887119,1,0xfa7093cdd9ee6932b4eb2c9e1cde7ce00b1fa4b9,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,299250000000000000,{'commitment_index': 0}
shield,af2ffbf40601e4eb1642787bf65c9e3c9a2242a8401ad55c3d896826a02059ae,46,16089128,1669887707,1,0xfa7093cdd9ee6932b4eb2c9e1cde7ce00b1fa4b9,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,138607690441552649,{'commitment_index': 0}
shield,f3575f7a7a9864fec0d6fe28e649a816e7d6e2a493747ca58184eb6a3d8e3b12,75,16089885,1669896839,1,0xfa7093cdd9ee6932b4eb2c9e1cde7ce00b1fa4b9,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,9975000,{'commitment_index': 0}
shield,22131b38351fab65f9d09861853686396047a251daf95bea19c0c1816b777a7d,56,16089897,1669896983,1,0xfa7093cdd9ee6932b4eb2c9e1cde7ce00b1fa4b9,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,2194739319,{'commitment_index': 0}
shield,41e12273947c77ec17292289311c272e451c45bad8d4806dfea190e1c4b5a383,81,16090733,1669907087,1,0xfa7093cdd9ee6932b4eb2c9e1cde7ce00b1fa4b9,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,997500000,{'commitment_index': 0}
shield,5ea9840b4bf85bacf16250ed138e9ec690138ed894f358237349c4aaf5ce4eec,29,16093517,1669940651,1,0xfa7093cdd9ee6932b4eb2c9e1cde7ce00b1fa4b9,0xe76C6c83af64e4C60245D8C7dE953DF673a7A33D,32367562590066035757435,{'commitment_index': 0}
shield,dbc51cda28c06d5dc63f2dbd07505a9c839876cde824087eb32c3d3fa44abb59,62,16093520,1669940687,1,0xfa7093cdd9ee6932b4eb2c9e1cde7ce00b1fa4b9,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,224001377479615302,{'commitment_index': 0}
shield,4e6341bea4d2f49d882b4bfcfcba24badcb31acbee28093620748414e6975255,19,16095376,1669963055,1,0xfa7093cdd9ee6932b4eb2c9e1cde7ce00b1fa4b9,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,224238000,{'commitment_index': 0}
shield,54b66c7e78c7fe41d691f0c4f1c33d907390ea88b67629b5fbce06fabeb788b2,30,16096280,1669973939,1,0xfa7093cdd9ee6932b4eb2c9e1cde7ce00b1fa4b9,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,977020956819978052,{'commitment_index': 0}
shield,2a2382e2cee96f9feddcd1dcdd25e16da2afbc473fd43db9d7a1c5d2531da0bd,75,16096450,1669975979,1,0xfa7093cdd9ee6932b4eb2c9e1cde7ce00b1fa4b9,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,130905347395186866522,{'commitment_index': 0}
shield,df02cce74d3319e8a17e77d9360719d7f0a61a4b00272cdc95d43ab045b74c36,128,16096559,1669977287,1,0xfa7093cdd9ee6932b4eb2c9e1cde7ce00b1fa4b9,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,131103202965092408434,{'commitment_index': 0}
shield,7dc9e1659a37ebd2d2d4541bb5f64acc63d05e7a40667f43c84570c860da2fe9,44,16096587,1669977623,1,0xfa7093cdd9ee6932b4eb2c9e1cde7ce00b1fa4b9,0x6B175474E89094C44Da98b954EedeAC495271d0F,165607698394792500000000,{'commitment_index': 0}
shield,705ff82e39956121dd14b1ab1eaa624518e6ea8c78a56285cacae79eb1edf1cc,61,16097049,1669983203,1,0xfa7093cdd9ee6932b4eb2c9e1cde7ce00b1fa4b9,0x6B175474E89094C44Da98b954EedeAC495271d0F,9975000000000000000000,{'commitment_index': 0}
shield,1768a25548625fcb3fec82a46f510424f7b21f4750a4791d53e0e4dc0f83168a,113,16097431,1669987811,1,0xfa7093cdd9ee6932b4eb2c9e1cde7ce00b1fa4b9,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,178203846,{'commitment_index': 0}
shield,84de15064c46c32e0d7ddaeb9592f25e327297728795ba3ade9bcfc87c619594,35,16099215,1670009327,1,0xfa7093cdd9ee6932b4eb2c9e1cde7ce00b1fa4b9,0xe76C6c83af64e4C60245D8C7dE953DF673a7A33D,77686812912034620240774,{'commitment_index': 0}
shield,42e46c796c50c1a3afda11c36edad8413f6550432ff56d33351b1e5b039b0f12,65,16099217,1670009351,1,0xfa7093cdd9ee6932b4eb2c9e1cde7ce00b1fa4b9,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,295063771741446452,{'commitment_index': 0}
shield,0e40361587044587a63855f2e18e77da187de52518421a3cf7e3ad5d8eb764a1,25,16099274,1670010035,1,0xfa7093cdd9ee6932b4eb2c9e1cde7ce00b1fa4b9,0xe76C6c83af64e4C60245D8C7dE953DF673a7A33D,214579332932348866083,{'commitment_index': 0}
shield,a4d031ef5be9f52ce0b7d131b9a488b929f2471b37539435a4985c042dce4843,68,16099278,1670010083,1,0xfa7093cdd9ee6932b4eb2c9e1cde7ce00b1fa4b9,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,173307513005296544,{'commitment_index': 0}
unshield,f8b50b2a2ec5578e1420217120af870c70ef6271ad74afde30fec70c18c63fef,17,16080462,1669783031,1,0xfa7093cdd9ee6932b4eb2c9e1cde7ce00b1fa4b9,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,24937500000000000,{}
unshield,ca83b55f7925d07e8c8682ae9a8f911d2b27c55f95ecac7cc056372da4beec35,8,16080792,1669787015,1,0xfa7093cdd9ee6932b4eb2c9e1cde7ce00b1fa4b9,0x6B175474E89094C44Da98b954EedeAC495271d0F,17456250000000000000000,{}
unshield,a5c712fc1be3c718d0ca5a2119e5bc9f8c5b152eaba6e8fa02a49c713d4fcded,3,16080807,1669787195,1,0xfa7093cdd9ee6932b4eb2c9e1cde7ce00b1fa4b9,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,17250765000,{}
unshield,817dddac747363483e2d0848cf3a093eaf4a2fac6521901b6b9a71d97538d07d,9,16082258,1669804727,1,0xfa7093cdd9ee6932b4eb2c9e1cde7ce00b1fa4b9,0xdAC17F958D2ee523a2206206994597C13D831ec7,1999987500,{}
unshield,0ebabcd6a089cc2857dc2673f68e2e8162129f1a550e354b5ab310bc883b4eea,32,16083850,1669823987,1,0xfa7093cdd9ee6932b4eb2c9e1cde7ce00b1fa4b9,0x6B175474E89094C44Da98b954EedeAC495271d0F,498750000000000000000,{}
unshield,5b771ae60ea4858ab66cb34a0ed024ebbde9a848177521537f7b4559df651720,141,16084270,1669829039,1,0xfa7093cdd9ee6932b4eb2c9e1cde7ce00b1fa4b9,0x6B175474E89094C44Da98b954EedeAC495271d0F,10206978600000000000000,{}
unshield,5b771ae60ea4858ab66cb34a0ed024ebbde9a848177521537f7b4559df651720,144,16084270,1669829039,1,0xfa7093cdd9ee6932b4eb2c9e1cde7ce00b1fa4b9,0xe76C6c83af64e4C60245D8C7dE953DF673a7A33D,22911577500000000000000,{}
unshield,e3f4857230eaa55d50a868cf519a0b9e2986a5e3108b92b482b060e952e74820,24,16084817,1669835627,1,0xfa7093cdd9ee6932b4eb2c9e1cde7ce00b1fa4b9,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,95544836780937321,{}
unshield,a3b45feb55362736bf7eb509239b98db05ab523d790bc614315fdc979399c4ae,41,16085085,1669838891,1,0xfa7093cdd9ee6932b4eb2c9e1cde7ce00b1fa4b9,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,249375000000000000,{}
unshield,cab3b16eee6efa57076b84881746b55ba6acf88c514bfa324c82b95525190ee1,100,16085296,1669841447,1,0xfa7093cdd9ee6932b4eb2c9e1cde7ce00b1fa4b9,0xdAC17F958D2ee523a2206206994597C13D831ec7,368930388,{}
unshield,7a52efd55a7d04508da18049785ec0a9229e73dba041bdb442efb9a414e05244,13,16086713,1669858607,1,0xfa7093cdd9ee6932b4eb2c9e1cde7ce00b1fa4b9,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,1885275000000000000,{}
unshield,e3015ade1c37b8edb83e076e6ab1d4902a8e9efe8200ebbc98c8fbe9ebf30d8e,79,16088747,1669883099,1,0xfa7093cdd9ee6932b4eb2c9e1cde7ce00b1fa4b9,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,2716192500,{}
unshield,6a72e2e8f17898b33fb4af87b0650f7a7bee1c05c5fb6a50a01aba17b271d7a8,18,16089919,1669897247,1,0xfa7093cdd9ee6932b4eb2c9e1cde7ce00b1fa4b9,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,1995000000,{}
unshield,a12d0fac4dacb4f137a782296b63a7b29a3a662ef8fea2269efff214b45dbbc5,29,16091521,1669916603,1,0xfa7093cdd9ee6932b4eb2c9e1cde7ce00b1fa4b9,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,4375000088,{}
unshield,10385f96dd55fbacc78929a82f9ba4b4419d59bdf8167fdf194e34e6e797f65b,163,16093536,1669940891,1,0xfa7093cdd9ee6932b4eb2c9e1cde7ce00b1fa4b9,0x9565c2036963697786705120Fc59310F747bCfD0,109194724070844909954260746,{}
unshield,73d70d575536ec1bbfa49ccb9e402f86c24353b0bf39b4842fdf7a55480f7b2c,123,16096341,1669974671,1,0xfa7093cdd9ee6932b4eb2c9e1cde7ce00b1fa4b9,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,920113863347360162,{}
unshield,789823a299a3fe1c56ebcb10ffdb44a3224d42e4f4a8323cc2dfbc85bbafd9f5,18,16096476,1669976291,1,0xfa7093cdd9ee6932b4eb2c9e1cde7ce00b1fa4b9,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,130524902314654357007,{}
unshield,7dc9e1659a37ebd2d2d4541bb5f64acc63d05e7a40667f43c84570c860da2fe9,18,16096587,1669977623,1,0xfa7093cdd9ee6932b4eb2c9e1cde7ce00b1fa4b9,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,129914400000000000000,{}
unshield,04c50d5b4719d855679c4ef1fe813031dbe9cf485beeae891a5741659b621aa2,15,16096615,1669977959,1,0xfa7093cdd9ee6932b4eb2c9e1cde7ce00b1fa4b9,0x6B175474E89094C44Da98b954EedeAC495271d0F,165093929148805518750000,{}
unshield,a87a5334793b1348069123c24a1ccdb48a9faf2305ba9975b015bbd2d3da03fb,9,16096673,1669978667,1,0xfa7093cdd9ee6932b4eb2c9e1cde7ce00b1fa4b9,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,729957601780382451,{}
unshield,f00304bbbb6079a2dfd74936dc0de7e768d8792c9b0b4d0fee25f711e275bb8f,10,16097264,1669985807,1,0xfa7093cdd9ee6932b4eb2c9e1cde7ce00b1fa4b9,0x6B175474E89094C44Da98b954EedeAC495271d0F,9875250000000000000000,{}
unshield,1768a25548625fcb3fec82a46f510424f7b21f4750a4791d53e0e4dc0f83168a,101,16097431,1669987811,1,0xfa7093cdd9ee6932b4eb2c9e1cde7ce00b1fa4b9,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,139423568396416409,{}
unshield,2e59eefdfb63ecf03c7d044a3b47742bb30209fe9f6140447e88507834bedf01,106,16097447,1669988003,1,0xfa7093cdd9ee6932b4eb2c9e1cde7ce00b1fa4b9,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,70822500000000000000,{}
shield,495d2126a9f62a6a6acf38fcadba0d1ca632b5c7fb8262f64a0cd964a6a66955,175,16100788,1670028311,1,0xfa7093cdd9ee6932b4eb2c9e1cde7ce00b1fa4b9,0xe76C6c83af64e4C60245D8C7dE953DF673a7A33D,1225731612331157254093,{'commitment_index': 0}
shield,e5bf2f1349b64c50ab038dfe171c152bb097b91f193132297f69afcb16ea46d7,38,16100801,1670028467,1,0xfa7093cdd9ee6932b4eb2c9e1cde7ce00b1fa4b9,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,26251021622062842,{'commitment_index': 0}
shield,5ca7d3a7bf6860b8b9f4f2f9093ed2f61e63204b07809b8871b0116f1b54554c,58,16101197,1670033231,1,0xfa7093cdd9ee6932b4eb2c9e1cde7ce00b1fa4b9,0x6B175474E89094C44Da98b954EedeAC495271d0F,2992500000000000000000,{'commitment_index': 0}
