kind,tx_hash,log_index,block_number,timestamp,chain_id,contract_address,token,amount_raw,extra
shield,97dadb2183176ec6677d6247d362d1800e7529be568e5b78eeb872cde049da46,142,39009686,1675755855,137,0x19b620929f97b7b990801496c3b361ca5def8c71,0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270,40897500000000000000,{'commitment_index': 0}
unshield,e7c369b88f320ac51743eefd84f574d9afad70c7a3a178615ba1b817b373b0e1,144,39007867,1675751856,137,0x19b620929f97b7b990801496c3b361ca5def8c71,0x8f3Cf7ad23Cd3CaDbD9735AFf958023239c6A063,39900000000000000000,{}
unshield,a0e9ca747d31928ce08f3338e545ea378d3847e8df13ba3d35523bd254499082,153,39007915,1675751958,137,0x19b620929f97b7b990801496c3b361ca5def8c71,0x8f3Cf7ad23Cd3CaDbD9735AFf958023239c6A063,39900000000000000000,{}
shield,9a1be524f614c36a33c6a37c0a498879ef7b67ec31381c5e678d56249cd27b9a,142,39029916,1675799997,137,0x19b620929f97b7b990801496c3b361ca5def8c71,0x8f3Cf7ad23Cd3CaDbD9735AFf958023239c6A063,397489771767200763843,{'commitment_index': 0}
shield,ce0836a6b344b547443127ecaf7f7413740424b71d9641308fe5373ba499a8bc,704,39030033,1675800249,137,0x19b620929f97b7b990801496c3b361ca5def8c71,0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270,315908004272904527044,{'commitment_index': 0}
shield,5d4ca644594f0c20c72dac9a3bb0fd59b97870ca8f9f3918ee7503ac622fb4df,355,39031617,1675803720,137,0x19b620929f97b7b990801496c3b361ca5def8c71,0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270,815091185508600000,{'commitment_index': 0}
shield,fb6ac6227f05ba79837c7fe7d21746d612e6df03eaa43affbdc9110eb74d31d9,237,39032917,1675806594,137,0x19b620929f97b7b990801496c3b361ca5def8c71,0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270,4839654718747996035,{'commitment_index': 0}
shield,ff48ee1f17bd6e3ab05f238e4cbdf20763fce9eeb1750d4df6258d63a0655e73,93,39033197,1675807188,137,0x19b620929f97b7b990801496c3b361ca5def8c71,0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270,2992500000000000000,{'commitment_index': 0}
shield,b23a44e0ac3a735888dcc6766b26e08b8bd912b89642cf3fab4fef0ac6ce6b6e,185,39033521,1675807910,137,0x19b620929f97b7b990801496c3b361ca5def8c71,0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,486960134,{'commitment_index': 0}
shield,5d2e443b385421388aaafb1a6a1a385a8593a1c783c4d60ea116b0e6ce87f7ae,331,39035345,1675811969,137,0x19b620929f97b7b990801496c3b361ca5def8c71,0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,746239725,{'commitment_index': 0}
unshield,ce0836a6b344b547443127ecaf7f7413740424b71d9641308fe5373ba499a8bc,683,39030033,1675800249,137,0x19b620929f97b7b990801496c3b361ca5def8c71,0x8f3Cf7ad23Cd3CaDbD9735AFf958023239c6A063,395498547337782761934,{}
unshield,4fbb19e847032dbfe73db169ada7f2d546deebc7399931ee58f73b83bd0c464f,269,39030413,1675801119,137,0x19b620929f97b7b990801496c3b361ca5def8c71,0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270,314702972921636828227,{}
unshield,cafec861911852e3d933930f907f532f2cc21f89bb70332d500548ebffe2dde3,166,39031788,1675804082,137,0x19b620929f97b7b990801496c3b361ca5def8c71,0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270,429174608922328500,{}
unshield,246676aad72917d6eaa78158be6947b1ee63e4ec15e3df1c351a7bcb30b378e5,247,39033226,1675807250,137,0x19b620929f97b7b990801496c3b361ca5def8c71,0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270,3990000000000000000,{}
unshield,f1f5684dcdb8b6aabeaa2ded85ee77c93da78c633d65217cd0c8d878ca85db99,222,39034470,1675810040,137,0x19b620929f97b7b990801496c3b361ca5def8c71,0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270,9226772875584117000,{}
unshield,b20666647883f7bb0fe0b01c188c21ba7415fc92bbd1b271e5c7cc40b5e64b86,259,39034508,1675810120,137,0x19b620929f97b7b990801496c3b361ca5def8c71,0x8f3Cf7ad23Cd3CaDbD9735AFf958023239c6A063,7906977914567573265,{}
unshield,9b53085ff05241e2ca8e87198629122a26347eca34b36d0b9acac9ae46737c43,242,39035565,1675812435,137,0x19b620929f97b7b990801496c3b361ca5def8c71,0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,350900917,{}
unshield,3553f71299bfacdeeba401c5d539ee3248ddfdf8bc824327122cafdee2b42c33,171,39035910,1675813233,137,0x19b620929f97b7b990801496c3b361ca5def8c71,0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,612684450,{}
unshield,56dc2a4811ae8e0f9e79559f33333c083a7fac59e810df36d62925d76a0e18ea,58,39038925,1675819935,137,0x19b620929f97b7b990801496c3b361ca5def8c71,0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,467827500,{}
shield,a763cf3dff1a6e11ec05453c9cb9d3fd99bda5f9c3f097c953eced753e4b0f00,224,39041187,1675824903,137,0x19b620929f97b7b990801496c3b361ca5def8c71,0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270,19784401548515274612,{'commitment_index': 0}
shield,2e200c70188c3189e6a9a99881f2a246e20d5f87be436aa79fb3de6d8979a343,305,39045128,1675833945,137,0x19b620929f97b7b990801496c3b361ca5def8c71,0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270,99750000000000000,{'commitment_index': 0}
unshield,4302afb63fdc24d7b0767487b5a90f43b58de1e557e77b0bede738333d5999dc,135,39041564,1675825801,137,0x19b620929f97b7b990801496c3b361ca5def8c71,0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270,19653372583043437471,{}
unshield,6040791caa4dc53f0093e1236e681fa29f2838dd5a21efbca5e995cf3d2c5699,215,39044383,1675832233,137,0x19b620929f97b7b990801496c3b361ca5def8c71,0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270,39999750000000000000,{}
unshield,8b61a109f13107a65452253abfc49cbeb57d3df060cc89589637d2deedf35c9f,352,39055646,1675856961,137,0x19b620929f97b7b990801496c3b361ca5def8c71,0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270,298360701129225000,{}
